Genes,actin_A1,actin_A2,actin_A3,control_C1,control_C2,control_C3,troponin_T1,troponin_T2,troponin_T3
USP7,10.747555238809799,10.505067193231886,10.592718642182502,10.439830883981392,10.450066807069124,10.284072199490721,10.493657097543169,10.894476749915382,10.36282735644561
CUL5,12.131748351879788,12.168630540929325,12.513113470445862,12.261574888038695,11.923814199524156,12.240709318469131,12.168408874344198,12.088325777016067,11.660950285467063
ATP2A3,11.97408829732146,10.239192751499452,8.087573481150717,NA,NA,NA,11.655570971370931,11.160705002796352,9.942165518600593
PHKB,12.773907987225527,12.634926733343422,12.785297155516767,13.268040153297733,13.477738907565325,13.581510476565354,12.380466476538093,12.596907197352106,11.603732966964992
CAVIN3,10.792679268906149,10.46525518098748,11.144772940174963,11.112172316292616,10.801807189700295,10.807636670919136,10.646567710095539,12.643833441767775,10.684511949940198
TRIM63,10.350104561408354,10.070965016363951,9.806857299675112,9.47461653108838,8.658775594767922,9.374128188706827,9.268432054210642,9.83940895741803,9.662977228248199
RAB24,10.977661531700896,11.219428714643167,11.267547502128224,10.84785601148761,11.042641623079783,11.121533517340032,11.453821058131727,11.61528938195549,11.717698603412021
GFM2,9.360095705916237,9.957059811675293,10.345211051978485,9.336830097823093,8.869427775243047,9.40542707937201,9.804266570054091,9.22614588661622,NA
ERGIC1,11.375358489872998,11.071755089838815,11.527715877095238,11.221879325116515,11.31675673466093,11.329915027542866,11.48606162919993,12.304205846857474,12.021831958909175
MTARC2,9.322198783144545,9.551070933773921,9.764228628809846,9.18858751608543,9.007189893903252,9.948381833687307,9.631153432595365,10.713223246581727,9.813757146099313
FAM162A,10.229414236961727,10.184491068829416,10.298211527745291,10.340461425783108,10.67949769324013,11.072387214358141,10.66915286301633,10.074061162092491,NA
MYL11,18.640771458439787,15.485574350946607,18.997484305223857,19.824520972586466,18.338557210126243,21.451453615740675,18.813220085863065,16.63233036414599,19.403536611962366
MRPL24,10.32464589606887,10.086134700424797,10.506328322187663,9.987448778915619,10.336919336921627,10.461591993573059,10.30252469162938,9.882724045856312,NA
