"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HEBP1",0.169518590835706,11.0060430876905,2.92820994637568,0.0143600144315966,0.0519386078890672,-4.33235432031931
"TPPP3",0.413333110391891,11.0500905718483,2.92717411203404,0.0143860969904325,0.0519693357050464,-4.33417759813864
"MYOZ1",-0.182692308692015,17.8675834730957,-2.92458963856972,0.0144513830583553,0.0521414370420512,-4.33872651534654
"OSTF1",0.209100944506993,9.22529328820111,2.92376366665756,0.014472310737264,0.0521532661324575,-4.34018021955115
"TMEM38B",-0.333774446253551,10.0420481970367,-2.92286289793998,0.0144951683646177,0.0521720128105301,-4.34176551875406
"FH",0.290453177058389,16.1914322211052,2.91457856045133,0.0147071024289049,0.0528704229652238,-4.35634314037295
"GLO1",-0.246239649899104,16.1131141481046,-2.91297389832104,0.0147485132204459,0.0529548682459508,-4.35916631114414
"HSPA12B",0.245647522332813,11.0609006986121,2.91187680466283,0.0147768930027891,0.0529923772126719,-4.36109639593448
"OGN",0.199442035622326,12.1016479466443,2.9089678084208,0.0148524099174182,0.0531986318860253,-4.36621374096987
"MRPL44",0.169122234002776,10.9321619147604,2.90743517685817,0.0148923529111762,0.0532771220974887,-4.36890964571977
"PFKFB1",-0.24244439584125,12.7693690270029,-2.90626738690593,0.0149228601081382,0.0533217069160198,-4.37096369205698
"LUC7L2",-0.351126275660935,10.953033442041,-2.90530043548473,0.0149481682454488,0.0533476294266923,-4.37266441380471
"SRPR",-0.388482268580752,10.9515627405469,-2.90139434321677,0.0150508435300488,0.0536492673477613,-4.37953402672755
"VAMP2",1.04053813669586,9.27374367817241,2.94901732158532,0.0153344825595145,0.0545288734184354,-4.29512991843298
"NT5DC1",0.313331427196848,11.0835304831257,2.89074040362752,0.0153345156719864,0.0545288734184354,-4.39826592583164
"ALAD",-0.176271285424153,12.2887825081794,-2.88946225962847,0.0153689070702138,0.0545854812409638,-4.40051266525639
"SPTB",-0.181312170227319,14.0009388698791,-2.8858756893933,0.0154658269318192,0.0548637678073539,-4.40681659432422
"CDK5RAP3",0.193778630538187,11.5333412633049,2.88332844952332,0.0155350341541337,0.0550431965533155,-4.41129320948146
"RPL3L",-0.191302526064483,11.8997247546138,-2.87981823608722,0.0156309155571203,0.0553165933787911,-4.41746145237618
"DARS2",0.346349375704943,12.5977567752061,2.87842091572459,0.0156692487332363,0.0553859210606617,-4.41991662181807
"PHB2",0.223509185529876,15.9914586609708,2.87686581354499,0.0157120215473354,0.0554707570757181,-4.42264886079946
"PEA15",0.319797708862646,11.1588261140318,2.87361312787429,0.0158018660464975,0.055721377288067,-4.42836311640896
"PANX1",-0.429504989207102,10.1400628883646,-2.92744263968743,0.0158972564354903,0.0559909329760116,-4.33170879039941
"ATP5H",0.192116560318645,16.4547545107874,2.86879406932419,0.0159359266358433,0.0560603133439486,-4.43682775050025
"STRN3",-0.186702601895822,11.4438650003352,-2.86736204526829,0.0159759837658217,0.0561344019357944,-4.43934276379901
"F2",-0.3207565334595,11.5856097217808,-2.86468314647319,0.0160511908637228,0.0562952377671315,-4.44404721626495
"NOP56",0.226419593317976,10.2584721292619,2.86437517076273,0.0160598597081867,0.0562952377671315,-4.4445880229978
"CFL1",-0.242173446479535,14.065633219318,-2.85943140530746,0.0161996615132775,0.0567180092082169,-4.45326833492038
"YWHAG",-0.240482647762253,16.3363024782803,-2.85867366254723,0.0162211970664899,0.0567261980254173,-4.45459862592937
"MPP1",-0.168942156896355,11.3134806713065,-2.85561486113401,0.0163084229827023,0.0569021989508401,-4.45996820936924
"GMPS",0.208693542942475,11.5906975139689,2.85555837884278,0.0163100380749109,0.0569021989508401,-4.46006735474977
"ATOX1",-0.229572905918804,11.8249037862026,-2.85034500363162,0.0164598065705949,0.0573569910567312,-4.46921753065698
"RNF123",-0.157382219587021,12.6377974555669,-2.84845350660209,0.0165144857643522,0.0574797472716853,-4.4725368465722
"TCAP",-0.379380388075784,17.4528582645197,-2.84447622133534,0.0166300563194705,0.0578139016753358,-4.47951552577281
"RSU1",0.200630444773148,13.3736077096266,2.83971319763072,0.0167695273519391,0.0582302624265336,-4.48787125325402
"INPP4B",0.272549807640669,11.3807967899925,2.83541651334167,0.0168963498453751,0.0585421704904937,-4.49540733692612
"UFSP2",-0.210369660290066,11.8700208118295,-2.83532791315453,0.0168989751026704,0.0585421704904937,-4.49556271985378
"CPT2",0.375594065589928,13.5072927502459,2.83369180707361,0.0169475271687641,0.058641619184658,-4.49843193334975
"MYCBP",-0.336865847100016,10.7457064796782,-2.82960056862228,0.0170695495785831,0.05899475906984,-4.50560572178481
"CRBN",-0.146464842575396,9.821345160631,-2.82877694480571,0.0170942207637519,0.0590110074262696,-4.50704974070764
