"","P1_slow","P2_slow","P3_slow","P4_slow","P5_slow","P1_fast","P2_fast","P3_fast","P4_fast","P5_fast"
"CPS1",10.3219280948874,10.5748205565619,11.6970587781551,10.8015321382223,10.6704347669427,10.6800781661513,10.4137847605964,11.4690526941191,10.5219340857076,11.1005128370618
"CASQ1",18.9962100118449,18.9315685693242,18.7469210189952,18.7123907568524,18.8905967882679,19.77164371018,19.7352989618395,19.5892195490326,19.6326196979486,19.7017004757675
"DNAJA1",11.3049273719223,11.1274011340585,11.0710947485519,10.6417447038767,10.579674209506,11.0266894189785,11.0154150523867,11.2265617790692,11.317107309001,10.6455593675503
"AKT2",NA,7.51915658511476,7.52079529016547,7.21360002287579,8.06670274368392,7.8843842358766,7.7525139655021,7.850611924582,8.0104364745425,8.25858487713067
"UQCRC1",17.3171564468829,17.4047590610374,17.4118088706053,17.6210711231236,17.4339602793135,17.0724098461933,17.0549686094434,17.0391439642929,17.4247438834788,17.3141045450692
"HIBADH",14.6867693735013,15.0188956211216,15.3574797718415,15.738683671148,15.1777192507325,14.7487745400576,14.5433509645562,14.6859641769616,15.2356365739338,14.9406411770763
"ATIC",12.8378267924748,13.1644921550693,13.3581017074408,12.8655267589129,13.0865127763585,13.1776406932426,13.5866697284369,13.7181903558775,13.3564262763747,13.4158977658298
"HNRNPH3",11.8841705191084,11.839596140451,11.830903359353,11.7552620096849,11.7633850386116,11.7078962277031,11.7246043914727,11.7080104412347,11.7027873884117,11.7529120486855
"HNRNPH1",12.8175343897152,12.927407612949,13.0136716140586,12.7638165313934,12.7062391419474,12.6106588375876,12.9787916184208,12.8441039141482,12.8429300875894,12.8975074073825
"CASP14",13.6546807743143,13.3636890937735,13.4080218143301,13.4367635864741,13.6689960709501,14.0427823330807,13.8719146604296,13.6662240028032,13.5613356841182,13.9676364160732
"YWHAB",14.1372665161776,14.4219727546264,14.444756089695,14.2656843696416,14.2804808103184,13.9919463026284,14.202667048036,14.1818044908862,14.075505795838,14.1489825035045
"STIP1",14.8461096334122,14.8917837032183,14.9466824347236,14.8870301732477,14.7798886546637,14.858411543693,14.8597717040241,15.0138068930853,14.9701328294122,14.7253496109355
"S100A11",12.6663540828979,12.6330245239308,12.7218858344378,12.4921043680295,12.8007767705486,12.4903169105926,12.6930447594639,12.5032095796293,12.2662946289867,12.8177831217745
"PRDX2",18.3451842499035,18.2032906427809,18.2173424377424,18.2483951152037,18.2137117981057,18.2455477124517,18.0979794625053,18.0442553591675,18.0916774387912,18.1201238093385
"CCR7",14.5238488920549,14.6272782209,14.3987436919382,14.4471348085676,14.6662240028032,15.2114818366166,14.9187142374113,14.8743311228423,15.1859708824303,14.990489544215
"RPL9",12.4982508675278,12.5652831712699,12.6836525973947,12.4750833533955,12.5491589473672,12.4978942391905,12.7378394419975,12.6790631796543,12.7045348306316,12.4819078819369
"ACSL1",16.5885564702969,16.7820127745623,16.9372128782526,17.102516367981,16.7859632470773,16.200412978505,16.2921435138676,16.1925259619687,16.5836148201079,16.553080061679
"CDH5",10.7740843506724,10.9143851321554,10.6073303137496,10.3684300686736,10.7678202961602,10.4339625558886,9.98096781819058,10.0805757851412,NA,10.6248776843931
"KIF5B",12.6672635235596,12.7253012550207,12.6792513614278,12.5461541172575,12.567480801143,12.564461531948,12.7263882723006,12.6844856508233,12.6620806685786,12.5597164520278
"ABCC1",10.4304525516655,10.4632689159813,10.686407208068,10.8766704165977,10.4376480530697,9.83708222968619,10.6803331485918,10.5307211534367,10.5829416887303,9.95068275547221
"SDC2",11.2947707731222,12.2524022939899,11.9592811287572,11.656111977267,11.8863632089999,11.940313597146,12.3721930603511,12.2616214778808,12.2225262589065,11.7584564260216
"SHMT1",12.1072345664154,12.1163439612375,11.9540419912616,12.1665560193465,12.1830150008828,12.1598839476939,12.034231537655,11.9579487186206,12.2980711619848,12.2772757748213
