"","Genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","signifficant","names"
"2140","ASAH1",-0.0532340115164214,12.6172865493361,-0.213207724392634,0.835581340910195,0.947709156849894,-5.30189163030984,0.99048327673343,"not signifficant",""
"2141","NLRX1",-0.0523598577701794,9.13518699196434,-0.213314901597822,0.835998774932475,0.947709156849894,-5.21961679072462,0.99066472331304,"not signifficant",""
"2142","THBS4",-0.267525442648633,8.26617703549309,-0.213184109110987,0.836722525393738,0.947709156849894,-5.21940222511334,0.953429468714547,"not signifficant",""
"2143","PTMS",0.100810469700669,12.7990162166205,0.211110257664526,0.837172444280746,0.947709156849894,-5.3022654443959,0.982242986113789,"not signifficant",""
"2144","EIF4A3",0.050522086450794,10.9342792291936,0.210795757019794,0.837411086130129,0.947709156849894,-5.30232118023702,0.991075414201692,"not signifficant",""
"2145","ADSL",0.062323916993126,13.3708642927647,0.210641848266314,0.837527877818569,0.947709156849894,-5.30234842602348,0.989010751921805,"not signifficant",""
"2146","SLC9A3R2",-0.076966161607432,9.56941402258276,-0.210135024202156,0.837912504150094,0.947709156849894,-5.30243800776243,0.986481389651517,"not signifficant",""
"2147","MYBPH",0.179430141085463,12.0311853799747,0.209910313831265,0.838083050164423,0.947709156849894,-5.30247765730277,0.968802801241113,"not signifficant",""
"2148","POTEF",-0.080482910469998,12.6279974642458,-0.209127005742288,0.838677618096998,0.947709156849894,-5.30261554192161,0.985940501757367,"not signifficant",""
"2149","NSFL1C",-0.0753258304355064,12.9195885111397,-0.208913202322758,0.838839923616233,0.947709156849894,-5.30265308887555,0.986849815431087,"not signifficant",""
"2150","EHBP1L1",-0.0401719903982585,11.6677765579269,-0.208852836057372,0.838885751163333,0.947709156849894,-5.30266368318377,0.992967399706996,"not signifficant",""
"2151","CSNK2A1",-0.0493030253094009,9.79463299990346,-0.208776133139977,0.838943981729548,0.947709156849894,-5.30267714021434,0.991379203545504,"not signifficant",""
"2152","HBB",-0.142694372607217,19.7302839024696,-0.207916463027013,0.839596687604027,0.947709156849894,-5.30282762933291,0.975360847908653,"not signifficant",""
"2153","SNCG",0.119019321693694,9.95776362516754,0.207389537284112,0.839996820169652,0.947709156849894,-5.30291956647489,0.979461965944983,"not signifficant",""
"2154","SARNP",-0.0582293234924922,10.8744318470639,-0.206702883596384,0.840518317689474,0.947709156849894,-5.30303902640913,0.989934439515936,"not signifficant",""
"2155","RWDD1",0.0780400552896925,10.1733876089097,0.206189030702053,0.840908630221431,0.947709156849894,-5.30312816711955,0.98656883648202,"not signifficant",""
"2156","SRSF1",-0.0569701827662517,13.0603636707737,-0.205313799969189,0.841573542752771,0.947709156849894,-5.30327949259713,0.99022179667085,"not signifficant",""
"2157","ARPC5L",0.0585893902188523,8.79585881630889,0.205271535790059,0.841605654163507,0.947709156849894,-5.30328678386302,0.989947495286541,"not signifficant",""
"2158","RUVBL1",0.0455022738489017,12.7756651568066,0.205152203320963,0.841696322048394,0.947709156849894,-5.30330736266033,0.992188986237256,"not signifficant",""
"2159","STK24",0.055418656402626,10.6831918726162,0.204514522804787,0.842180868052301,0.947709156849894,-5.30341712952833,0.99052642472412,"not signifficant",""
"2160","ARPC5",0.0749556843740589,11.6070659436487,0.205087548142372,0.842224202996443,0.947709156849894,-5.2209964175962,0.987211904011539,"not signifficant",""
"2161","XRCC6",-0.0500866412320313,13.514788198447,-0.2042755167276,0.842362496388434,0.947709156849894,-5.30345818363139,0.991444701829888,"not signifficant",""
"2162","AP1B1",0.0953360743980323,10.2268802240548,0.204730373098961,0.842494735653565,0.947709156849894,-5.2210550980206,0.983793318395239,"not signifficant",""
"2163","MSN",0.0403157366399665,12.3617292961182,0.203495066557041,0.842955653127486,0.947789250303304,-5.30359191086084,0.993136087125869,"not signifficant",""
"2164","TNPO1",-0.041960455936664,10.5537436187918,-0.202258482551353,0.843895691857205,0.948016632368067,-5.30380275780497,0.992903503611439,"not signifficant",""
"2165","RPS19",-0.0456499112823199,12.9955740992284,-0.202203488579264,0.843937503732263,0.948016632368067,-5.30381210515646,0.992284188425718,"not signifficant",""
"2166","RPL7",-0.073331232785284,11.7637176734978,-0.20004100544639,0.845582041591717,0.948793210709149,-5.30417766897001,0.987775480320892,"not signifficant",""
"2167","HSP90AA1",0.0446283392444506,14.0301963680623,0.199638921035235,0.845887907533618,0.948793210709149,-5.30424521165497,0.992558451598366,"not signifficant",""
"2168","PRXL2A",-0.0708773167115595,11.3584656819875,-0.19931495345139,0.846134369566391,0.948793210709149,-5.30429953430889,0.988227863528061,"not signifficant",""
"2169","ERI3",-0.076117865611808,12.6435884947347,-0.198356411318944,0.846863693719018,0.948793210709149,-5.3044597504702,0.987427728672325,"not signifficant",""
"2170","TUBB2B",0.0482593953447576,9.91909991535264,0.198076179667893,0.847076941864548,0.948793210709149,-5.30450644552532,0.992022678936228,"not signifficant",""
"2171","CRYZ",0.0660245710088656,13.583840733727,0.197961211707731,0.847164432905648,0.948793210709149,-5.3045255837517,0.989108876244653,"not signifficant",""
"2172","PPTC7",-0.0937373882860904,9.25388927915638,-0.197704596371172,0.847359726011625,0.948793210709149,-5.30456826173133,0.98459418200885,"not signifficant",""
"2173","RPL11",-0.0615265834143894,14.1066517795673,-0.196296334905757,0.848431654913977,0.949556274620705,-5.30480149545594,0.989938100295797,"not signifficant",""
"2174","NUBP1",-0.0727493269136019,11.788156726011,-0.195533161919131,0.849012696858756,0.94976949345009,-5.30492720100318,0.988162923405683,"not signifficant",""
"2175","AK2",-0.0553767322650067,14.7445274272473,-0.194759164006494,0.849602077680639,0.949991840422673,-5.30505419426814,0.991014911744306,"not signifficant",""
"2176","GPI",0.0717119242717388,16.4383586908106,0.192812051212479,0.851085188238717,0.950774549855501,-5.30537145960541,0.988503545613931,"not signifficant",""
"2177","TXN",-0.0456060637460602,14.6309929735783,-0.192398389272673,0.851400352442153,0.950774549855501,-5.30543845559341,0.992690072736101,"not signifficant",""
"2178","CCT2",0.047239649606043,10.9638046759676,0.191699423812299,0.851932948680153,0.950774549855501,-5.30555133494857,0.992458546963785,"not signifficant",""
"2179","IDH3A",0.0735209489648412,13.652580926086,0.191588997958214,0.85201709792261,0.950774549855501,-5.30556913093233,0.988294762369441,"not signifficant",""
"2180","CCT6A",0.0447608404762434,12.9711197442636,0.191274470301071,0.852256792222448,0.950774549855501,-5.30561976383048,0.992869742660136,"not signifficant",""
"2181","GSR",-0.0572313388344057,12.075656667582,-0.189548744384708,0.853572209655178,0.950793142015333,-5.30589610569259,0.990979769078777,"not signifficant",""
"2182","PRNP",-0.22321035996042,8.86141732465043,-0.191817485988786,0.853572568654868,0.950793142015333,-5.15921602539975,0.965277439632299,"not signifficant",""
"2183","KCTD12",0.0446541772440519,10.4271523660323,0.189024473369476,0.853971923891249,0.950793142015333,-5.30597956614907,0.992975812987494,"not signifficant",""
"2184","PDIA4",-0.0530816992179837,10.9565208776468,-0.188829680194122,0.854120449028864,0.950793142015333,-5.30601051756034,0.991664847178036,"not signifficant",""
"2185","IGHV1-46",-0.0729935739990069,11.903622947898,-0.18868835019883,0.854228213529401,0.950793142015333,-5.30603295421275,0.988565238922833,"not signifficant",""
"2186","CCT4",0.0433424874640558,12.1083269021719,0.188044543932129,0.854719157468224,0.950904387448637,-5.30613495015918,0.993219089954193,"not signifficant",""
"2187","YARS1",-0.0455370734224978,11.0911108008962,-0.186706474523912,0.855739730731122,0.951516229542015,-5.30634583051988,0.992930929040694,"not signifficant",""
"2188","RPS12",-0.0437430574655142,14.3122584733806,-0.186297647154974,0.856051607828095,0.951516229542015,-5.30640996421834,0.993224311327246,"not signifficant",""
"2189","KSR2",0.108030317617487,18.959646164499,0.184832312955748,0.857169663402212,0.952323719229868,-5.30663868971692,0.983488269604174,"not signifficant",""
"2190","AKR1B1",-0.068704747695179,15.9852167664777,-0.184134706154394,0.857702057179796,0.952480092722038,-5.30674695076242,0.989509339677704,"not signifficant",""
"2191","PRKACA",0.0391395618235908,14.3333433017006,0.183336557422532,0.858311273917558,0.952573928677945,-5.30687031700879,0.994037771861207,"not signifficant",""
"2192","NPEPPS",0.0556827102815731,14.1969467278262,0.182997734799192,0.858569922558411,0.952573928677945,-5.30692252663927,0.99154504781402,"not signifficant",""
"2193","SNTB1",0.0383864072262714,12.2474127486844,0.181044016636388,0.86006168467629,0.953504621679912,-5.30722170954585,0.994229915605947,"not signifficant",""
"2194","NDUFA3",0.0801037228528667,9.4101276828577,0.181424512391319,0.860192902946434,0.953504621679912,-5.22466535714585,0.988008963162861,"not signifficant",""
"2195","RPL10",0.0455976486147271,12.9921959045632,0.179248425734488,0.861433220501159,0.954444461165749,-5.30749386914151,0.993221833822845,"not signifficant",""
"2196","APEX1",0.0460483413760358,10.1562621451539,0.178345366956046,0.862123192489096,0.954452501111966,-5.30762972983461,0.993191683759027,"not signifficant",""
"2197","TXNL1",-0.0411989762282197,10.7163782346978,-0.17821162290131,0.862225388545637,0.954452501111966,-5.30764979309418,0.993911334153338,"not signifficant",""
"2198","LDHA",0.0616566770567317,17.9737175094682,0.175292939928685,0.864456266399342,0.956486642349045,-5.30808391305604,0.991059628550709,"not signifficant",""
"2199","CAV1",0.122696698262315,11.9960195793244,0.174541391977608,0.865030911640677,0.956603603617105,-5.3081945455292,0.982367505502729,"not signifficant",""
"2200","MTX1",-0.0345205281297005,10.5410596604761,-0.174125879445792,0.865348654587842,0.956603603617105,-5.30825550905127,0.995019986693498,"not signifficant",""
"2201","MYL1",0.0542965006679843,19.8284295579169,0.170859322750768,0.867847470561531,0.958930053796294,-5.30872975154965,0.99233358972258,"not signifficant",""
"2202","TRPT1",-0.0632968698838958,9.14297835635604,-0.167028656997406,0.870779765321442,0.960695970038898,-5.3092745345676,0.991280094323496,"not signifficant",""
"2203","DDX42",0.0601492499290366,11.2636739200042,0.166983380379087,0.870814436063313,0.960695970038898,-5.30928090030569,0.991714289785193,"not signifficant",""
"2204","ALDH9A1",0.0515697193745872,14.5026909838351,0.165971279352277,0.871589531377558,0.960695970038898,-5.30942275095812,0.992937486230081,"not signifficant",""
"2205","ACP1",-0.0357047134966937,13.033345076387,-0.165106147829556,0.872252186908333,0.960695970038898,-5.30954332429321,0.995131885745526,"not signifficant",""
"2206","HNRNPL",-0.0369325254361392,12.1315621560383,-0.16468628684184,0.872573820898033,0.960695970038898,-5.30960161475477,0.994978450928854,"not signifficant",""
"2207","ANXA1",0.0624531075113559,13.2408120250288,0.164112371711241,0.873013507439443,0.960695970038898,-5.30968105453169,0.991554468106054,"not signifficant",""
"2208","ENO3",0.0597244667509784,18.4786993533451,0.16399857924996,0.87310069127556,0.960695970038898,-5.30969677265727,0.991927883570564,"not signifficant",""
"2209","HLA-E",0.128478911387985,10.1393637138498,0.16394712896389,0.873140111287486,0.960695970038898,-5.30970387591836,0.982721660797162,"not signifficant",""
"2210","ABCF1",-0.0392763384813009,9.26575027122758,-0.16357186539464,0.873427640558652,0.960695970038898,-5.30975561810571,0.994698834487549,"not signifficant",""
"2211","RWDD4",0.0455901466355417,9.08020511780797,0.163294717854945,0.873640005188076,0.960695970038898,-5.30979375622966,0.993860294755993,"not signifficant",""
"2212","HHATL",-0.0668964468235256,11.857812250426,-0.161967996709091,0.874656752987068,0.960695970038898,-5.30997543580548,0.991080989321266,"not signifficant",""
"2213","MRPL49",-0.0396235165078282,8.10950183913326,-0.161929107998467,0.874686559427398,0.960695970038898,-5.30998073896917,0.994708867881683,"not signifficant",""
"2214","ACACB",0.102795556171124,8.88894916272659,0.16180817200204,0.874779252726113,0.960695970038898,-5.30999722264822,0.986341761269094,"not signifficant",""
"2215","DCTN4",-0.0431546650393653,8.64843665299973,-0.161551517785022,0.87497597600171,0.960695970038898,-5.31003216430565,0.994252890788783,"not signifficant",""
"2216","RAB7A",0.046485650838374,13.4919714984644,0.160152620213838,0.876048376497565,0.961439373484693,-5.31022164566045,0.99386725203656,"not signifficant",""
"2217","FKBP7",-0.0926712790358248,8.3541343145786,-0.159388877912719,0.877003274067547,0.961642027275368,-5.31021119582449,0.98791106484375,"not signifficant",""
"2218","SCRN1",0.0616705893656242,9.23689613269208,0.15856698044564,0.877264253856937,0.961642027275368,-5.31043444171429,0.991956940224123,"not signifficant",""
"2219","ACTG1",-0.0682991658597274,9.27261889017699,-0.157264554360397,0.878263213189664,0.961642027275368,-5.31060765616803,0.99117334316074,"not signifficant",""
"2220","GAPDH",0.055627066098193,20.3385327583184,0.156781922439858,0.878633448601789,0.961642027275368,-5.31067148267035,0.992828393801534,"not signifficant",""
