"","Genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","signifficant","names"
"333","POGLUT3",-0.756446182565202,10.020998334562,-3.18839065480503,0.0100561883972635,0.0731471786477178,-2.63972552456394,0.0308282144772724,"Downregulated (π < 0.05)",""
"334","DPP3",0.871998872633162,11.6611621972873,3.18660047516482,0.0100863079490055,0.0731471786477178,-2.64259344651907,0.0181658929056259,"Upregulated (π < 0.05)",""
"335","PSMB5",-0.844316497201421,9.02106492731707,-3.18619930222099,0.0100930703414299,0.0731471786477178,-2.64323615799232,0.0206425784682394,"Downregulated (π < 0.05)",""
"336","PEA15",1.01508877433874,8.45622945529267,3.2697588847092,0.0101443325466762,0.0731471786477178,-2.53776961379648,0.00946541878640997,"Upregulated (π < 0.05)",""
"337","C8A",-0.825909811459193,10.6313251911096,-3.18188492951606,0.0101660909605507,0.0731471786477178,-2.65014859736922,0.0225989847253866,"Downregulated (π < 0.05)",""
"338","SUB1",0.79536122425538,11.1572066924471,3.18120772841946,0.010177601763123,0.0731471786477178,-2.65123367821943,0.0260230651330425,"Upregulated (π < 0.05)",""
"339","AK2",-0.904497623130196,14.7445274272473,-3.18110501868697,0.0101793487526996,0.0731471786477178,-2.65139825206699,0.0157756575361032,"Downregulated (π < 0.05)",""
"340","APOA1",1.43180727289818,16.7625855232343,3.17838171029547,0.0102257820596244,0.0732647208742505,-2.65576203650415,0.00141341279957741,"Upregulated (π < 0.05)",""
"341","S100A13",1.21655520817729,14.0867276912549,3.16728137704472,0.0104173087378486,0.0744180764967715,-2.67355242267415,0.00387694975735769,"Upregulated (π < 0.05)",""
"342","SET",0.66686132938773,12.0224222352698,3.16041722520953,0.0105375835250896,0.0750571738804626,-2.68455618414208,0.0480222445185368,"Upregulated (π < 0.05)",""
"343","HSPA12A",1.27439272892288,8.38902096846093,3.14661892802765,0.0107836915551481,0.0764098696730462,-2.70668180667007,0.0031115239735329,"Upregulated (π < 0.05)",""
"344","TLN1",1.14895917026429,13.0309108135672,3.14625688146659,0.010790227901284,0.0764098696730462,-2.70726245269943,0.00549581987603093,"Upregulated (π < 0.05)",""
"345","GLUL",-2.31428478197678,10.9921337986806,-3.13647704840175,0.0109683382802623,0.0774460059441131,-2.7229491596217,2.91291466921277e-05,"Downregulated (π < 0.05)",""
"346","ATAD1",-1.16143643915795,11.4168053635243,-3.13176143701268,0.0110552938764179,0.0778343811646073,-2.73051422822967,0.00534233657936415,"Downregulated (π < 0.05)",""
"347","STARD5",2.27612482201149,8.70852356500129,3.31154765419613,0.0112767966040235,0.0789071275720997,-2.54120914908174,3.68579885425493e-05,"Upregulated (π < 0.05)",""
"348","ADH5",1.04276423691676,14.1396279477984,3.11943250043585,0.0112859943383606,0.0789071275720997,-2.75029688214561,0.00931661566128665,"Upregulated (π < 0.05)",""
"349","TUBA1B",1.2550986265112,12.2283760771344,3.11843686178236,0.0113048388845085,0.0789071275720997,-2.75189468989184,0.00360292144834315,"Upregulated (π < 0.05)",""
"350","TIMM50",-1.08451058756003,9.62831281528659,-3.11621048046093,0.0113470945836029,0.0789248260903317,-2.75546772568083,0.00777144604098243,"Downregulated (π < 0.05)",""
"351","GYG1",-0.713161025143613,10.7186453946134,-3.11489314392642,0.0113721732174493,0.0789248260903317,-2.7575819495468,0.0410679791868373,"Downregulated (π < 0.05)",""
"352","TMEM11",-0.701779342540302,9.75329954686086,-3.19511867822835,0.0114068052770778,0.0789402774288679,-2.64921160792277,0.0433069749574897,"Downregulated (π < 0.05)",""
"353","HBG1",4.30054361303721,14.5657295574195,3.10395897915001,0.0115825355738369,0.0798383173925483,-2.77513268033972,4.71306166674966e-09,"Upregulated (π < 0.05)",""
"354","PTMS",1.4812591570552,12.7990162166205,3.10194966100616,0.0116216243425901,0.0798383173925483,-2.77835831597684,0.00136194252437496,"Upregulated (π < 0.05)",""
"355","MRPL12",-0.892166706352695,9.65499368982823,-3.10126910253951,0.0116348943654986,0.0798383173925483,-2.77945087170866,0.0188077849735309,"Downregulated (π < 0.05)",""
"356","PITRM1",-0.665948718962165,9.80798186810837,-3.09804740726604,0.0116979242463639,0.0800453468093892,-2.78462311801207,0.0516963086086038,"not signifficant",""
"357","C2",1.99082839561681,7.62369150909941,3.1770846099264,0.011735693229404,0.0800788479182863,-2.67620773754403,0.000143457480474216,"Upregulated (π < 0.05)",""
"358","AHNAK",0.976265652090492,13.9882206820253,3.08913704858075,0.0118740753083293,0.0803563732953594,-2.79892984272415,0.0131916134627314,"Upregulated (π < 0.05)",""
"359","DYSF",-0.845632792447248,13.4572152391735,-3.08837111460723,0.0118893434339506,0.0803563732953594,-2.8001597587905,0.0235662443521725,"Downregulated (π < 0.05)",""
"360","RAN",0.800261834044782,15.1181158468163,3.08779924091637,0.011900756265062,0.0803563732953594,-2.80107806930004,0.0288373778828054,"Upregulated (π < 0.05)",""
"361","MLEC",-0.813848334223518,10.9601187976121,-3.08443750955112,0.0119680731144006,0.0803563732953594,-2.80647650416466,0.0272774158188494,"Downregulated (π < 0.05)",""
"362","GC",0.882464950439896,12.0186219160132,3.08353119627553,0.0119862881567338,0.0803563732953594,-2.80793196246269,0.0201607461579676,"Upregulated (π < 0.05)",""
"363","RAB10",-0.692524697600099,12.7682564763691,-3.08261189833591,0.0120047931499303,0.0803563732953594,-2.80940829679816,0.0467633571258438,"Downregulated (π < 0.05)",""
"364","MYH14",-0.840452336132604,10.9660085961055,-3.0824887555322,0.0120072741705709,0.0803563732953594,-2.8096060581656,0.0243144573960359,"Downregulated (π < 0.05)",""
"365","SLC2A4",-0.722398233106389,8.50402208539498,-3.07595823715504,0.0121396023985103,0.0810193738158115,-2.82009435819331,0.0413078592834681,"Downregulated (π < 0.05)",""
"366","UBR3",-0.813475272709629,9.68674428371382,-3.07260494906165,0.0122081290908469,0.081034629244689,-2.82548033750292,0.0277674734546011,"Downregulated (π < 0.05)",""
"367","MT-CO2",-2.13800999728286,15.3799262176264,-3.07259079859131,0.012208419102135,0.081034629244689,-2.82550306631859,8.11444334899117e-05,"Downregulated (π < 0.05)",""
"368","SUCLA2",-1.07784461947877,15.4551257846437,-3.06982733341877,0.012265191102753,0.0811902324084409,-2.82994190928767,0.00870738803986611,"Downregulated (π < 0.05)",""
