"","Genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","signifficant","names"
"1420","LYZ",0.381418878960899,10.7972125499844,0.891901789446691,0.394043272967369,0.680085470930187,-5.68703546076507,0.701023883678438,"not signifficant",""
"1421","EEF1G",-0.205021980681904,14.8342327364023,-0.891270880441635,0.394365165771034,0.680085470930187,-5.68757766934855,0.826323910473515,"not signifficant",""
"1422","NOP58",0.501347921984391,7.50687096631316,0.901693244580018,0.394566111653499,0.680085470930187,-5.49355876015699,0.627358074442603,"not signifficant",""
"1423","FXR2",-0.3601185331447,8.72037392264342,-0.889263231132181,0.395390706449591,0.680992868733136,-5.68930091434447,0.715948459315819,"not signifficant",""
"1424","POGLUT3",-0.210858363333031,10.020998334562,-0.888759637676633,0.395648243605053,0.680992868733136,-5.68973265595173,0.822411710789749,"not signifficant",""
"1425","CD59",-0.25439310770385,10.5692990254169,-0.887369014000064,0.396360017817799,0.681497183359353,-5.6909237992934,0.79023602669659,"not signifficant",""
"1426","FLOT1",-0.253200675537292,9.10902725043219,-0.886912679760007,0.396593782488659,0.681497183359353,-5.69131433185905,0.791226657659634,"not signifficant",""
"1427","MRPL24",-0.26029874949427,10.2832333307412,-0.891273105493577,0.39677538990363,0.681497183359353,-5.68514707159166,0.786143258431495,"not signifficant",""
"1428","BCAT2",-0.258581741890081,10.002327492996,-0.885493883764635,0.397321200703714,0.68193596140444,-5.69252746246929,0.787671936788201,"not signifficant",""
"1429","FILIP1",0.216512633317533,10.0293925207544,0.884975310353757,0.397587306751099,0.68193596140444,-5.69297045651134,0.818977703024487,"not signifficant",""
"1430","GRB2",0.183424915238064,12.5001854374075,0.88214338665867,0.399042708395331,0.683953621172697,-5.69538578376779,0.844922768706164,"not signifficant",""
"1431","SRL",-0.270753476827787,14.6860058099333,-0.88110839775361,0.399575544639038,0.684388301824097,-5.69626688951324,0.780066301571694,"not signifficant",""
"1432","PCYT2",0.254125629557965,11.6195143974977,0.87831557210868,0.401015833430131,0.686375564062327,-5.69864011885304,0.792780887440271,"not signifficant",""
"1433","RTN4IP1",-0.196098875304804,11.6968412002072,-0.877292474170679,0.401544360181536,0.68680057697484,-5.69950791342094,0.836166166774558,"not signifficant",""
"1434","UGGT1",-0.270451541396596,10.4974975118079,-0.875204268374719,0.402624621079211,0.688029910883747,-5.70127648260727,0.78188824690075,"not signifficant",""
"1435","CALML5",0.34734868014416,8.90688516026025,0.874788939310301,0.402839718064121,0.688029910883747,-5.70162781340521,0.72919422378152,"not signifficant",""
"1436","THBS4",-1.10989354716079,8.26617703549309,-0.884445474482483,0.403243638909901,0.688029910883747,-5.58791606811659,0.364940398068696,"not signifficant",""
"1437","DCUN1D2",-0.336356691540944,10.476586301269,-0.878187269676073,0.403455947925746,0.688029910883747,-5.69633900756787,0.736897168798464,"not signifficant",""
"1438","ATP6V1A",0.23664358143159,10.1452158451095,0.873193616177289,0.403666671501766,0.688029910883747,-5.70297600075554,0.806803635586063,"not signifficant",""
"1439","ESYT1",-0.230178314134189,9.77170576254844,-0.872150943436802,0.404207789576664,0.688473448403338,-5.70385602489174,0.811799777861007,"not signifficant",""
"1440","NIT2",0.262328913320934,11.5249536929885,0.869321685334151,0.405678632596934,0.690498839232697,-5.7062394547329,0.789250462226307,"not signifficant",""
"1441","PITPNA",0.301955781615971,8.55847170678524,0.879082600160099,0.405969645007996,0.690504565324679,-5.69256438228436,0.761697214642312,"not signifficant",""
"1442","SYNGR1",-0.330112670495865,9.59796196604392,-0.868233287548577,0.406245443981308,0.690504565324679,-5.70715459720566,0.74277303335975,"not signifficant",""
