Genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,xiao,signifficant,names
PSME1,0.3492896908882077,13.291515588850286,1.1928631160886916,0.25684990611214237,0.7043065067153071,-5.155936277183157,0.6220239460619678,not signifficant,
RARS1,-0.5347952360139185,9.837993018761662,-1.192620708901147,0.25694122252893076,0.7043065067153071,-5.1561890696605985,0.4834837928156219,not signifficant,
BCAS2,-0.4362344878167299,7.920712316863298,-1.1969284754415834,0.25753545487389046,0.7043065067153071,-5.15053590340668,0.5533332808504423,not signifficant,
IGHG2,0.583632433851978,12.661703989319562,1.1906661941710341,0.25767843491957004,0.7043065067153071,-5.158225893851511,0.45319599473095196,not signifficant,
FSD2,-0.5818427201273089,7.203108954212379,-1.2119541983803246,0.2579527294386491,0.7043065067153071,-5.046632786839616,0.454578516644595,not signifficant,
DNAH10,-0.37177420160631947,12.146667274378299,-1.1899218222147445,0.25795963737213295,0.7043065067153071,-5.15900094529583,0.6042687353015647,not signifficant,
TRIM21,0.7475949235636046,8.291891098309042,1.2387444894553414,0.2579808514993029,0.7043065067153071,-4.8220908805943985,0.36316650037889486,not signifficant,
SLC4A1,-0.6852620055727101,11.475644542433082,-1.1897876170696868,0.2580103619003026,0.7043065067153071,-5.159140642518871,0.39520032401366045,not signifficant,
VKORC1,0.8282445495938155,8.933825849861922,1.2377232501266129,0.2583354509889872,0.7043907399403591,-4.823025880065229,0.32594521389011666,not signifficant,
GBP1,0.5427290242323419,8.441559819026436,1.2084644272772243,0.2592238338150475,0.7060089398785253,-5.050169334244844,0.4806006640462974,not signifficant,
NRAP,0.49239319586054897,12.667836689338229,1.1840403963091868,0.260189960535735,0.707834960821079,-5.1651117957974,0.5153390327575509,not signifficant,
PITRM1,-0.43973355366057376,9.708890850394882,-1.1801723945222031,0.26166499217441874,0.7103218776546067,-5.1691180913760935,0.5545787360188079,not signifficant,
COG5,0.7401306426306764,9.527392938187777,1.2491581597648396,0.26169753387274985,0.7103218776546067,-4.735312545250515,0.37076238403686534,not signifficant,
C4orf54,0.36180960023365927,8.984398456954462,1.184769905116768,0.2621087874273227,0.7106324315979734,-5.163152219781575,0.6160288525295642,not signifficant,
PPP1R3A,-0.33844152908091196,12.68336660156611,-1.1746910865812832,0.26376645465909276,0.7124295209299986,-5.1747782059743646,0.6369666048186906,not signifficant,
DDX6,0.41217226867102674,10.152049039690297,1.1746113254613404,0.26379713120661746,0.7124295209299986,-5.1748604200852055,0.5773824394688053,not signifficant,
MRPL54,-0.35666014796145973,11.581608772680019,-1.1743363816218402,0.2639028974413531,0.7124295209299986,-5.175143786824486,0.6218021050182195,not signifficant,
CTTN,0.41005090583662174,10.879281590500746,1.1736986493355097,0.2641483498835518,0.7124295209299986,-5.175800860328942,0.5793329212993398,not signifficant,
APOL2,-0.34467162200177803,10.905458614644552,-1.1734098264081794,0.2642595716732827,0.7124295209299986,-5.176098352708928,0.6321066992242387,not signifficant,
CYC1,-0.646521245953398,15.763398682530035,-1.1711906033982844,0.26511538576388355,0.7139327711121903,-5.178382315791808,0.42387561619250486,not signifficant,
SAMHD1,-0.9589136040005233,11.399732270796274,-1.181060827005317,0.26615263234570347,0.715920676219791,-4.915564720969309,0.2810283094500387,not signifficant,
PYGB,-0.42726274381720764,10.769145147910656,-1.1671362391091962,0.2666844853133976,0.7165461928622603,-5.1825463827773195,0.5685258603200722,not signifficant,
PAICS,0.2965898507891467,10.430129520468856,1.1649428874565653,0.2675363593438117,0.7173231022815161,-5.184794454642997,0.676343863345829,not signifficant,
IGFN1,0.4866952683641177,10.13113917345876,1.17046146780799,0.26757290323199406,0.7173231022815161,-5.1778766261761815,0.5264277738973098,not signifficant,
UBL7,0.49882480074109026,8.886178397179254,1.1640154977482213,0.267897184749827,0.7173891054710132,-5.185744002233998,0.5183896551590546,not signifficant,
XPNPEP1,0.3133388604661196,10.910693663503505,1.1589691329956904,0.2698672521820148,0.7206280001715692,-5.190900724416326,0.6633721698860322,not signifficant,
MT-ATP8,-0.612001495640353,15.054304266484635,-1.1582239253483755,0.2701591288102733,0.7206280001715692,-5.191660764289358,0.4489007944080666,not signifficant,
ALDH2,-0.3162701597123192,14.229775730815213,-1.1563080188617971,0.27091066133356634,0.7206280001715692,-5.193613071029224,0.661637053542552,not signifficant,
MAT2A,-0.37615818007499335,9.683437937530808,-1.1560434591489088,0.2710145649047065,0.7206280001715692,-5.193882460903871,0.6119494378177196,not signifficant,
NUDT5,0.5158017769490968,9.428093758207616,1.155957026568528,0.2710485172715476,0.7206280001715692,-5.1939704611916415,0.5099935149430991,not signifficant,
CACNA1S,-0.32453771214483673,11.196184083505413,-1.154776910480674,0.2715124199568656,0.7206280001715692,-5.195171473346629,0.6550031745128501,not signifficant,
