,fiberID,subject,fiber_number,plate_number,plate_position,digestion_batch,MS_batch,date_isolation
488,P1_fibNumber20,P1,20,8,G12,4,3,19/10/2021
489,P1_fibNumber2,P1,2,10,F1,5,3,19/10/2021
490,P1_fibNumber199,P1,199,7,D6,4,2,30/11/2021
491,P1_fibNumber198,P1,198,7,C7,4,2,30/11/2021
492,P1_fibNumber197,P1,197,5,D11,3,2,30/11/2021
493,P1_fibNumber196,P1,196,9,E11,5,3,30/11/2021
494,P1_fibNumber195,P1,195,1,B9,1,1,30/11/2021
495,P1_fibNumber194,P1,194,10,A10,5,3,30/11/2021
496,P1_fibNumber192,P1,192,4,H5,2,1,30/11/2021
497,P1_fibNumber191,P1,191,8,G11,4,3,30/11/2021
498,P1_fibNumber190,P1,190,8,D11,4,3,30/11/2021
499,P1_fibNumber19,P1,19,3,G7,2,1,19/10/2021
500,P1_fibNumber189,P1,189,2,E3,1,1,30/11/2021
501,P1_fibNumber188,P1,188,3,E8,2,1,30/11/2021
502,P1_fibNumber187,P1,187,9,C7,5,3,30/11/2021
503,P1_fibNumber186,P1,186,7,D3,4,2,30/11/2021
504,P1_fibNumber185,P1,185,9,H3,5,3,30/11/2021
505,P1_fibNumber184,P1,184,5,E6,3,2,30/11/2021
506,P1_fibNumber183,P1,183,2,E7,1,1,30/11/2021
507,P1_fibNumber182,P1,182,9,F3,5,3,30/11/2021
508,P1_fibNumber181,P1,181,7,C4,4,2,30/11/2021
509,P1_fibNumber180,P1,180,8,A8,4,3,30/11/2021
510,P1_fibNumber179,P1,179,9,F5,5,3,30/11/2021
511,P1_fibNumber178,P1,178,4,F8,2,1,30/11/2021
512,P1_fibNumber177,P1,177,10,G5,5,3,30/11/2021
513,P1_fibNumber176,P1,176,6,B7,3,2,30/11/2021
514,P1_fibNumber175,P1,175,6,G5,3,2,30/11/2021
515,P1_fibNumber174,P1,174,3,A9,2,1,30/11/2021
516,P1_fibNumber173,P1,173,4,C8,2,1,30/11/2021
517,P1_fibNumber172,P1,172,2,A5,1,1,27/11/2021
518,P1_fibNumber171,P1,171,7,B12,4,2,27/11/2021
519,P1_fibNumber170,P1,170,1,H12,1,1,27/11/2021
520,P1_fibNumber17,P1,17,4,H6,2,1,19/10/2021
521,P1_fibNumber169,P1,169,1,B5,1,1,27/11/2021
522,P1_fibNumber168,P1,168,4,A4,2,1,27/11/2021
523,P1_fibNumber167,P1,167,11,A3,6,3,27/11/2021
524,P1_fibNumber166,P1,166,1,D8,1,1,27/11/2021
525,P1_fibNumber165,P1,165,6,C5,3,2,27/11/2021
526,P1_fibNumber164,P1,164,6,E5,3,2,27/11/2021
527,P1_fibNumber163,P1,163,2,A3,1,1,27/11/2021
528,P1_fibNumber162,P1,162,7,A4,4,2,27/11/2021
529,P1_fibNumber161,P1,161,9,G5,5,3,27/11/2021
530,P1_fibNumber160,P1,160,1,G11,1,1,27/11/2021
531,P1_fibNumber16,P1,16,6,H11,3,2,19/10/2021
532,P1_fibNumber159,P1,159,9,F4,5,3,27/11/2021
533,P1_fibNumber158,P1,158,5,D5,3,2,27/11/2021
534,P1_fibNumber157,P1,157,3,C8,2,1,27/11/2021
535,P1_fibNumber156,P1,156,11,A5,6,3,27/11/2021
536,P1_fibNumber155,P1,155,10,A12,5,3,27/11/2021
537,P1_fibNumber154,P1,154,4,C9,2,1,27/11/2021
538,P1_fibNumber153,P1,153,10,F8,5,3,27/11/2021
539,P1_fibNumber152,P1,152,10,B10,5,3,27/11/2021
540,P1_fibNumber151,P1,151,3,C12,2,1,27/11/2021
541,P1_fibNumber150,P1,150,6,E9,3,2,27/11/2021
542,P1_fibNumber15,P1,15,3,F11,2,1,19/10/2021
543,P1_fibNumber149,P1,149,8,A10,4,3,27/11/2021
544,P1_fibNumber148,P1,148,5,A2,3,2,27/11/2021
545,P1_fibNumber147,P1,147,10,D10,5,3,27/11/2021
546,P1_fibNumber146,P1,146,1,F2,1,1,27/11/2021
547,P1_fibNumber144,P1,144,10,G11,5,3,27/11/2021
548,P1_fibNumber143,P1,143,7,E10,4,2,27/11/2021
549,P1_fibNumber142,P1,142,7,F12,4,2,27/11/2021
550,P1_fibNumber141,P1,141,5,B1,3,2,27/11/2021
551,P1_fibNumber140,P1,140,9,E1,5,3,27/11/2021
552,P1_fibNumber14,P1,14,3,H1,2,1,19/10/2021
553,P1_fibNumber139,P1,139,8,A5,4,3,27/11/2021
554,P1_fibNumber138,P1,138,9,D9,5,3,27/11/2021
555,P1_fibNumber137,P1,137,1,H10,1,1,27/11/2021
556,P1_fibNumber136,P1,136,11,D12,6,3,27/11/2021
557,P1_fibNumber135,P1,135,1,C6,1,1,27/11/2021
558,P1_fibNumber134,P1,134,1,B7,1,1,27/11/2021
559,P1_fibNumber133,P1,133,9,H1,5,3,27/11/2021
560,P1_fibNumber132,P1,132,3,D11,2,1,27/11/2021
561,P1_fibNumber131,P1,131,5,E12,3,2,27/11/2021
562,P1_fibNumber130,P1,130,6,G2,3,2,27/11/2021
563,P1_fibNumber13,P1,13,8,H11,4,3,19/10/2021
564,P1_fibNumber129,P1,129,2,G12,1,1,27/11/2021
565,P1_fibNumber128,P1,128,9,C8,5,3,27/11/2021
566,P1_fibNumber127,P1,127,5,E3,3,2,27/11/2021
567,P1_fibNumber126,P1,126,2,C11,1,1,27/11/2021
568,P1_fibNumber125,P1,125,6,H5,3,2,27/11/2021
569,P1_fibNumber124,P1,124,7,H10,4,2,27/11/2021
570,P1_fibNumber123,P1,123,5,H10,3,2,27/11/2021
571,P1_fibNumber122,P1,122,4,A8,2,1,27/11/2021
572,P1_fibNumber121,P1,121,3,G3,2,1,27/11/2021
573,P1_fibNumber120,P1,120,9,H8,5,3,27/11/2021
574,P1_fibNumber119,P1,119,6,H9,3,2,27/11/2021
575,P1_fibNumber117,P1,117,3,H8,2,1,27/11/2021
576,P1_fibNumber116,P1,116,4,F12,2,1,27/11/2021
577,P1_fibNumber115,P1,115,3,E5,2,1,27/11/2021
578,P1_fibNumber114,P1,114,9,A11,5,3,27/11/2021
579,P1_fibNumber113,P1,113,4,F5,2,1,27/11/2021
580,P1_fibNumber112,P1,112,10,E9,5,3,27/11/2021
581,P1_fibNumber111,P1,111,11,B8,6,3,27/11/2021
582,P1_fibNumber110,P1,110,7,D11,4,2,27/11/2021
583,P1_fibNumber11,P1,11,4,B6,2,1,19/10/2021
584,P1_fibNumber109,P1,109,8,F10,4,3,27/11/2021
585,P1_fibNumber108,P1,108,9,B12,5,3,27/11/2021
586,P1_fibNumber107,P1,107,1,A12,1,1,27/11/2021
587,P1_fibNumber106,P1,106,6,D3,3,2,27/11/2021
588,P1_fibNumber105,P1,105,5,E7,3,2,27/11/2021
589,P1_fibNumber104,P1,104,8,D6,4,3,27/11/2021
590,P1_fibNumber103,P1,103,4,H2,2,1,27/11/2021
591,P1_fibNumber102,P1,102,8,F3,4,3,27/11/2021
592,P1_fibNumber101,P1,101,5,G1,3,2,27/11/2021
593,P1_fibNumber100,P1,100,3,B9,2,1,27/11/2021
594,P1_fibNumber10,P1,10,2,G5,1,1,19/10/2021
595,P1_fibNumber1,P1,1,6,F11,3,2,19/10/2021
596,P5_fibNumber99,P5,99,10,E4,5,3,07/12/2021
597,P5_fibNumber98,P5,98,9,C10,5,3,07/12/2021
598,P5_fibNumber97,P5,97,7,F10,4,2,07/12/2021
599,P5_fibNumber96,P5,96,5,F1,3,2,07/12/2021
600,P5_fibNumber95,P5,95,1,A2,1,1,07/12/2021
601,P5_fibNumber94,P5,94,10,A7,5,3,07/12/2021
602,P5_fibNumber93,P5,93,3,C3,2,1,07/12/2021
603,P5_fibNumber92,P5,92,5,B7,3,2,07/12/2021
604,P5_fibNumber91,P5,91,4,F4,2,1,07/12/2021
605,P5_fibNumber9,P5,9,6,A7,3,2,01/10/2021
606,P5_fibNumber89,P5,89,7,H1,4,2,07/12/2021
607,P5_fibNumber88,P5,88,1,D10,1,1,07/12/2021
