"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MOGS",0.132415934198828,12.8859242251507,1.51992727834618,0.158027798953774,0.296923005786613,-6.61664557066034
"MATR3",0.0673896856053364,12.3746333259981,1.51980771499559,0.158057491743601,0.296923005786613,-6.6168083647421
"PPP2R2A",-0.0895617447182033,13.4017334416336,-1.51818554191862,0.158460826988334,0.297491577986358,-6.61901626095068
"FAM45A",0.206692132957093,12.5371376120975,1.51770108392645,0.158581455202567,0.297529015951483,-6.61967535136308
"PSME3",-0.0841587649094233,10.6695845203449,-1.51698367854844,0.158760232841191,0.297675436577233,-6.62065111244625
"ANXA5",-0.280558488937535,15.4912048752426,-1.5157110352747,0.15907780629888,0.298081748645017,-6.62238133997402
"GOT2",0.202972646680831,17.8917219762176,1.51425884760754,0.159440856119486,0.298572705851129,-6.62435453154349
"SYNC",-0.0901914603209484,11.9309738839541,-1.51077761704658,0.160314097968949,0.300017833754429,-6.62907978879072
"OMA1",0.130879879062498,11.3108564447918,1.50747085076453,0.161147412353449,0.301386457914205,-6.63356176449112
"STAM",-0.168430383565207,9.61426335135334,-1.50698782177846,0.161269450533328,0.301423925569883,-6.6342159308467
"PERM1",0.160328863822958,11.7919137371716,1.50596662201888,0.161527722049487,0.301461176207406,-6.63559849768681
"RPL18",-0.168726733622661,13.1313913389088,-1.50573000742649,0.161587615295259,0.301461176207406,-6.63591875580861
"NXN",-0.143694707951944,12.3221302290622,-1.50569913023532,0.161595432525391,0.301461176207406,-6.63596054573066
"MLIP",-0.115928044902322,14.3446065714807,-1.50499790195825,0.161773051825679,0.301602125012543,-6.63690945600271
"INTU",-0.559165191470667,11.8350441303597,-1.50415766596111,0.161986103959562,0.301808913745589,-6.63804609784152
"MAPK14",0.217046909334014,12.0698520665608,1.50308786356522,0.162257716839774,0.302124482206384,-6.63949269654345
"SNAP29",0.117520201333248,10.8147114958864,1.49906636632976,0.163282264815244,0.303840738368418,-6.64492466287253
"LGALS3",0.145523277622598,12.2162629953015,1.49644001235163,0.16395439018245,0.30489944807372,-6.64846708193089
"MTR",-0.294637987700211,10.1905291863025,-1.49556466746064,0.164178935259052,0.305125002321068,-6.64964685063238
"RPL21",-0.197162747462329,11.946790935972,-1.49098770173924,0.165357356808243,0.306998159959447,-6.65580827893994
"SUMO1",-0.122615353665035,10.2574864611808,-1.49050969752553,0.165480847534088,0.306998159959447,-6.65645105198812
"CCDC43",-0.203068213284071,10.8245258701298,-1.49044139231075,0.165498500445144,0.306998159959447,-6.65654289117952
"SCRIB",0.129142500907244,10.4237380459665,1.48924910607157,0.165806898641984,0.30737728073216,-6.65814552847348
"DPP7",0.242076240143426,10.5377020459519,1.48737615602424,0.1662923591131,0.307900209896784,-6.66066140892176
"FUBP1",-0.108308279924152,11.2418391618284,-1.48706391212633,0.166373410451006,0.307900209896784,-6.66108063671347
"MINOS1",0.197478276636271,11.6859248302377,1.48670544375743,0.166466502593093,0.307900209896784,-6.66156185611673
"ECI1",0.239232628506002,15.8585506207395,1.48650684264137,0.166518097472063,0.307900209896784,-6.66182843205891
"TMCO1",-0.178430488764429,12.2432162041015,-1.48615336793386,0.166609961294402,0.307900209896784,-6.66230283245744
"SPG7",0.106875352847039,11.732579909666,1.48364517505581,0.167263065935893,0.308913974900353,-6.66566697834974
"GNB2",0.0949350331779026,13.2738694327996,1.48242795162239,0.167580811122433,0.309307493358394,-6.66729825787363
"SNAPIN",-0.116482469558845,10.9422154876976,-1.48112769917373,0.167920804426237,0.309741558726299,-6.66903984345407
"VWA8",0.125099933166387,13.3321152788195,1.47942707976303,0.168366382951703,0.310369720288386,-6.67131618045803
"NAPG",0.101382336686029,12.3641358377437,1.47898749998019,0.168481722445254,0.310388709367659,-6.6719042946109
"TMX3",0.0823024945592987,11.9462423211407,1.47771219085022,0.168816730328401,0.310812110978458,-6.67360988404791
"PHYKPL",-0.131817339739724,11.9490840583693,-1.47722200807927,0.168945647657382,0.310855783827874,-6.67426519457662
"TFRC",0.359985615735001,11.2418133713266,1.47589973235488,0.169293826598049,0.311302587179363,-6.67603219423169
"UQCR10",0.325427934743612,16.6022731935249,1.47459336141618,0.169638423362733,0.311742251888605,-6.67777692046427
"FTH1",-0.332561293028986,16.160407885251,-1.47361223695528,0.169897622432704,0.311879535473206,-6.67908659627214
"CLASP2",0.100985410994262,12.6194195454941,1.47324248573492,0.169995393710691,0.311879535473206,-6.67958001838955
"ECHDC2",-0.220198357332565,11.3357456082166,-1.57790594922482,0.170029756902651,0.311879535473206,-5.98460290410833
"TALDO1",0.0991991993361943,13.8650580978035,1.46964788262813,0.170948417297451,0.31335285652765,-6.68437266734636
"PSMD6",-0.092036212197943,13.1013302044919,-1.46928432209922,0.171045061786497,0.31335285652765,-6.68485697004015
"EIF4G2",0.128009270503627,12.2179586891788,1.46767887167663,0.171472396317996,0.313941097348004,-6.68699466315921
"HSPB8",-0.161392166691558,12.7700039365319,-1.46700732938082,0.171651417339396,0.314074265162796,-6.68788837988206
"TXLNB",0.147200732807999,12.8528368048592,1.46648082074984,0.171791887175362,0.314136773888115,-6.68858889110039
"FNTB",0.285701706106797,10.9610033083225,1.46585990038723,0.17195767233932,0.314245468004138,-6.68941480246811
"MRPL1",0.0955004035538156,11.6841606593613,1.46461459743982,0.172290580840469,0.314659249928051,-6.69107053476542
"EIF3F",0.0755034942560364,12.935646116899,1.46127384044363,0.17318640175365,0.316099948846224,-6.69550775217431
"GNAS",-0.0902799427694152,11.7320921146494,-1.4586928104393,0.173881233653672,0.317149533730386,-6.69893130405881
"NUBP1",0.141810803652739,11.2780894339926,1.45834108135079,0.173976106320459,0.317149533730386,-6.69939753721116
"MBP",-0.653604066843133,11.2327473090916,-1.55818276922493,0.174556068062487,0.318010592555272,-6.20881806104955
"DAG1",-0.0891272676401744,13.2938788435562,-1.45495013929764,0.174893028709088,0.318317900947301,-6.70388856265901
"NOP58",0.15003072582669,10.8638161041317,1.45477612823631,0.174940193278652,0.318317900947301,-6.70411883892329
"PSMB1",-0.0937429673258539,13.7755604265398,-1.45359472711174,0.175260692292854,0.318704828138698,-6.7056817537277
"TBL1Y",-1.35764582987251,10.3031722951319,-1.47718408339509,0.175653520662256,0.319222726664801,-6.53184575598538
"RNH1",-0.0923644430418502,15.0246158949627,-1.45157093563098,0.175810888437179,0.319257000274614,-6.70835713341396
"XRCC5",-0.102889400999178,11.8655627706717,-1.45128604284268,0.175888459034542,0.319257000274614,-6.70873355239396
"HSPBP1",0.10960468628944,10.7600131352754,1.44959129377288,0.176350510351982,0.319832312151708,-6.71097174920495
"DDRGK1",0.0933696246832962,11.0319016505119,1.44932984034877,0.176421884537152,0.319832312151708,-6.71131688669943
"LXN",-0.234482622082091,9.94116381520931,-1.45957138594137,0.176639474167081,0.320013325900533,-6.63923870699918
"GAPVD1",-0.175338753711722,9.7551024420309,-1.44817176644517,0.176738324152173,0.320013325900533,-6.7128451295169
"MTX2",0.122291519039869,14.0705882928835,1.44623483376814,0.177268668120206,0.320732700187867,-6.71539936645574
"HK1",-0.131558814985489,14.5785549560991,-1.44592838086444,0.177352701220634,0.320732700187867,-6.71580327753267
"ATG4B",-0.229528178285609,11.6611392598201,-1.44507024232112,0.177588194247273,0.320962149235896,-6.71693401732734
"TBC1D15",-0.489991981293139,16.1946810322352,-1.44433860875828,0.177789182201728,0.321128993524514,-6.71789771181639
"POLR2I",-0.47557421905818,10.2309159679313,-1.44270041213742,0.178239917505081,0.321534697894332,-6.72005433209863
"PFDN5",0.100158385181345,11.8239636748317,1.44267641363634,0.178246527721908,0.321534697894332,-6.72008591300509
"SORD",0.277610953759581,11.6787608113573,1.44233631967152,0.178340226683184,0.321534697894332,-6.72053342301124
"ATAD1",0.0971444139515807,12.8541308889816,1.44120544119907,0.178652096213391,0.321900575799129,-6.72202097312444
"EIF2A",-0.112198198781114,11.4270436295964,-1.44063673034392,0.178809108961512,0.321987152334715,-6.72276875657039
"PRKAG1",0.0747728810407295,11.4278799442021,1.43967171885267,0.179075803834666,0.322271011164092,-6.7240371734924
"IST1",-0.103453782245882,10.7189048799234,-1.43906391748719,0.179243952581662,0.322377285379679,-6.72483577906079
"CBR1",-0.253375812360586,15.0072388308631,-1.43817967459022,0.179488819488311,0.322621326999975,-6.72599720459232
"NES",0.144421499529761,11.8460491955501,1.43714365274978,0.179776080162243,0.32281361127934,-6.72735737811585
"F12",-0.163631033980629,10.7637226755021,-1.43700598093837,0.179814282289608,0.32281361127934,-6.72753807535401
"ARHGDIB",0.0891173713425673,11.2861502793644,1.43528220417088,0.180293193672075,0.323307106756028,-6.72979958631872
"STX8",-0.227804204282995,10.0212560158501,-1.43522900713988,0.180307990502177,0.323307106756028,-6.72986934923958
"ILK",-0.122538782942975,12.1350572027734,-1.433379639019,0.18082303832978,0.323903415890896,-6.73229354224352
"UBE2D3",0.381992407892996,13.0310953028343,1.4332478998066,0.180859775370551,0.323903415890896,-6.73246614879206
"TAGLN2",0.112444587198054,12.535067900814,1.43283179740192,0.180975852197144,0.323914986821659,-6.73301126189896
"C4BPA",-0.168597563964903,11.4263148764624,-1.42753881368164,0.182457936416498,0.326369977064619,-6.7399360112555
"FERMT2",0.0826800445470077,12.0568150104578,1.42604855466991,0.182877080375652,0.326682160789424,-6.74188258266887
"NCBP2-AS2",0.163135186718344,10.662870575239,1.42578679692886,0.182950785696899,0.326682160789424,-6.74222434808613
"HNRNPD",-0.0974844770728094,12.9546582334898,-1.42573944912966,0.182964120509813,0.326682160789424,-6.74228616347383
"C2orf47",0.128194076639206,11.5422378169426,1.4251346885853,0.183134515114577,0.326788944543221,-6.74307559266108
"EIF3J",-0.1171384340954,12.5860984473506,-1.42372005751155,0.183533621898741,0.327303471762692,-6.74492130938418
"MICU2",-0.104880003147141,11.0154014132456,-1.41757549732084,0.185275756625055,0.330211013767815,-6.75292392476532
"FUS",0.123014034310316,11.4273915135784,1.41693235194041,0.185458912789027,0.330338208132354,-6.7537601948167
"PVALB",-0.328956658335102,10.9379416986658,-1.44016275916559,0.185580989936025,0.330356521241538,-6.57997739726884
"STAT5B",0.211642895090003,12.7293927501061,1.4141927799103,0.186240814235364,0.331148468167535,-6.75731952341347
"PAM16",-0.118761801358101,12.2322870561239,-1.4141606486102,0.186250001385599,0.331148468167535,-6.7573612415349
"PSMD10",-0.143811824639043,11.7339754511844,-1.4135517472367,0.186424174285554,0.33118815085366,-6.75815169533743
"VPS29",-0.113535051061241,10.8661997618268,-1.41329912918137,0.186496474795428,0.33118815085366,-6.75847956706623
"MAP7D1",0.171548578625975,10.8215656600103,1.41163505091404,0.186973336000637,0.331835560289419,-6.76063836999637
"NUP133",0.156480302352831,8.49535821416917,1.41115142427845,0.187112118453114,0.331882539032985,-6.76126545257046
"SH3GLB2",-0.13261821302237,11.194291952837,-1.4105708002356,0.187278850704052,0.331979006496985,-6.76201811121448
"ADK",0.083185681696019,11.7042041946234,1.40713370339967,0.188268427221294,0.333533094987364,-6.76646927101953
"FBLN1",-0.622955593167037,10.62418029142,-1.50026987378595,0.188523000002694,0.333783981430773,-6.28188074294769
"C6orf136",0.234827169512164,11.6227803266288,1.40407495595129,0.18915278979755,0.334698499312432,-6.77042422316843
"PPP4R1",0.258781044123689,10.6097101251362,1.40118034955863,0.189992926793394,0.335983901061926,-6.77416152303206
"THOP1",0.0830315056280995,10.8388227530695,1.40065519671001,0.19014568571508,0.33605293139238,-6.77483899559318
"THTPA",-0.0956518304803176,11.2658623192182,-1.3988670458072,0.190666609637134,0.336772164660927,-6.77714449211383
"UBTF",-0.122484105429431,12.7827089891901,-1.39536601390547,0.191690018996051,0.338377542493029,-6.78165258933681
"HIST1H1C",0.155817820065451,15.9880367539301,1.39408856396726,0.19206459087518,0.338836337932034,-6.78329556401352
"L3HYPDH",0.148105262836278,10.8963856734279,1.392586566156,0.192505793635937,0.339412064555009,-6.78522601483893
"MFN1",-0.0946907641151942,10.5571959299214,-1.38808457835068,0.193833345605951,0.341548918464869,-6.79100363689944
"C1QC",0.260166296257308,10.082941802265,1.38555219744092,0.194583479430309,0.342666377661837,-6.79424789726747
"RPL26L1",0.10827553754797,15.0116485860931,1.38196128411528,0.195651354643459,0.34431970237441,-6.79884123894176
"LYPLAL1",0.103424627870256,12.6514528631225,1.38161241698605,0.195755363786466,0.34431970237441,-6.79928705546088
"ADH1B",0.101988831379943,11.6892897070645,1.38005483219561,0.196220299840329,0.344932174912655,-6.80127653915809
"SEC23IP",-0.0682573914611346,12.0691900370949,-1.37656090337267,0.19726660633105,0.346225459337322,-6.80573363430249
"CSNK2A1",-0.119651901848325,12.9022663222389,-1.3764902441717,0.197287814463906,0.346225459337322,-6.80582369119287
"MBNL1",0.0738292368843307,11.2683795398835,1.37607104231189,0.197413675925084,0.346225459337322,-6.80635790831024
"FHL3",-0.177618697208825,17.2690361663059,-1.3760344364069,0.19742466970673,0.346225459337322,-6.80640455231556
"AMPD1",-0.256629754123885,17.0852958735931,-1.3751394313523,0.197693624783832,0.34649149539515,-6.8075447183833
"SLC16A1",0.106723622782447,11.7246592283727,1.37465047486125,0.197840689351686,0.346543708971091,-6.8081673929373
"VPS13C",0.0671348630749815,11.4371381267072,1.36464218592728,0.20087112124762,0.351643461662747,-6.82087883608169
"PRPF3",-0.391625247789275,12.3327941475758,-1.36377683934832,0.201134957287492,0.351761298664973,-6.82197486258333
"RANGAP1",-0.241777970780497,8.55145377186967,-1.36364063011208,0.201176512603656,0.351761298664973,-6.82214733758203
"EMD",0.0928423990937617,11.7061939245882,1.36309124590417,0.201344194085565,0.351846300131783,-6.8228428733583
"RAB7A",-0.127641768421586,14.292256763849,-1.36127298183774,0.201899993412395,0.352609031048244,-6.82514344904141
"EIF3B",-0.0899399487597741,12.5805833469245,-1.36038852478325,0.202170813978416,0.352873452632144,-6.8262617400126
"MKNK1",-0.346889770990328,12.0844183500099,-1.36757608213241,0.202894880740506,0.353904114677398,-6.75769439696552
"ERG",-0.13716541368863,10.8813978457779,-1.35768395429451,0.203000837353025,0.353904114677398,-6.82967819048996
"COPS5",-0.0700430849136193,13.2191653065283,-1.35616684128268,0.203467679111841,0.354508839490266,-6.83159254207466
"TFB2M",0.111820515913315,12.8941745052119,1.35503786943999,0.203815664633844,0.354905886265768,-6.83301614775558
"EIF2B2",0.146665354494202,13.2651337265141,1.35427534469521,0.204050980322734,0.355106388017479,-6.83397720180541
"RPL6",-0.0662792411676687,13.5854523475397,-1.35341398123041,0.204317070390872,0.355360178343159,-6.83506237104736
"USP13",0.14995809645875,11.0321822130272,1.35250283723415,0.204598853559133,0.355640948392494,-6.83620972721518
"EHBP1L1",-0.14041936495428,11.779115823855,-1.35110933199471,0.205030440187689,0.356181628897484,-6.83796344507686
